row,original_name,normalized_name,candidate_cas,reason
665,Acetanilide N-Phenyl-acetamide,Acetanilide N-Phenyl-acetamide,,not found in PubChem
675,Acetoxime Propan-2-one oxime,Acetoxime Propan-2-one oxime,,not found in PubChem
677,Acetyl Salicylic Acid 2-Acetoxy-benzoic acid,Acetyl Salicylic Acid 2-Acetoxy-benzoic acid,,not found in PubChem
680,"Acetylacetone Pentane-2,4-dione","Acetylacetone Pentane-2,4-dione",,not found in PubChem
682,Acetylbromide Acetyl bromide,Acetylbromide Acetyl bromide,,not found in PubChem
684,Acetylchloride Acetyl chloride,Acetylchloride Acetyl chloride,,not found in PubChem
685,Acetylene (Ethyne),Acetylene (Ethyne),,not found in PubChem
686,Acetylene (Ethyne) Ethyne,Acetylene (Ethyne) Ethyne,,not found in PubChem
687,Acetylfluorid Acetyl fluorid,Acetylfluorid Acetyl fluorid,,not found in PubChem
690,Acridine Acridine,Acridine Acridine,,not found in PubChem
692,Acrolein Propenal,Acrolein Propenal,,not found in PubChem
694,Acrylamide Acrylamide,Acrylamide Acrylamide,,not found in PubChem
698,Acrylylchloride Acryloyl chloride,Acrylylchloride Acryloyl chloride,,not found in PubChem
701,"Adipic Acid (1,6-Hexanedioic) Hexanedioic acid","Adipic Acid (1,6-Hexanedioic) Hexanedioic acid",,not found in PubChem
705,Allyl Acetate Acetic acid allyl ester,Allyl Acetate Acetic acid allyl ester,,not found in PubChem
707,Allyl Acetic Acid Pent-4-enoic acid,Allyl Acetic Acid Pent-4-enoic acid,,not found in PubChem
709,Allyl Acetonitrile (4-Pentenenitrile) Pent-4-enenitrile,Allyl Acetonitrile (4-Pentenenitrile) Pent-4-enenitrile,,not found in PubChem
711,Allyl Alcohol Prop-2-en-1-ol,Allyl Alcohol Prop-2-en-1-ol,,not found in PubChem
713,Allyl Amine Allylamine,Allyl Amine Allylamine,,not found in PubChem
