number,polymer_name,category,dispersion,polar,hydrogen_bonding,interaction_radius
204,PVAC,Based on Solvent Range Solubility Data - Not too Reliable,17.6,2.2,4.0,4.1
205,PVC,Based on Solvent Range Solubility Data - Not too Reliable,17.6,7.8,3.4,8.2
206,PHENOLICS,Based on Solvent Range Solubility Data - Not too Reliable,19.8,7.2,10.8,12.8
207,BUNA N B UTADIENE/ACRYLONITRILE,Based on Solvent Range Solubility Data - Not too Reliable,17.8,3.2,3.4,3.7
208,PMMA,Based on Solvent Range Solubility Data - Not too Reliable,18.1,10.5,5.1,9.5
209,PEO 4000 ? HEATED SAMPLES,Based on Solvent Range Solubility Data - Not too Reliable,21.5,10.9,13.1,15.9
210,POLYETHYLENESULFIDE (GOOD),Based on Solvent Range Solubility Data - Not too Reliable,17.8,3.8,2.2,4.1
211,PC,Based on Solvent Range Solubility Data - Not too Reliable,18.1,5.9,6.9,5.5
212,PLIOLITE P1230,Based on Solvent Range Solubility Data - Not too Reliable,18.1,4.7,3.7,3.9
213,MYLAR PET,Based on Solvent Range Solubility Data - Not too Reliable,18.0,6.2,6.2,5.0
214,VCVA COPOLY,Based on Solvent Range Solubility Data - Not too Reliable,17.3,8.7,6.1,7.8
215,PUR,Based on Solvent Range Solubility Data - Not too Reliable,17.9,6.9,3.7,2.7
216,SAN,Based on Solvent Range Solubility Data - Not too Reliable,16.6,9.8,7.6,4.8
217,VINSOL ROSIN,Based on Solvent Range Solubility Data - Not too Reliable,17.4,10.0,13.0,10.5
218,EPON 1001,Based on Solvent Range Solubility Data - Not too Reliable,17.0,9.6,7.8,7.1
219,SHELLAC,Based on Solvent Range Solubility Data - Not too Reliable,19.7,10.1,15.1,10.7
220,POLYMETHACRYLONITRILE,Based on Solvent Range Solubility Data - Not too Reliable,17.2,14.4,7.6,3.8
221,CELLULOSE ACETATE,Based on Solvent Range Solubility Data - Not too Reliable,18.3,16.5,11.9,8.8
222,CELLULOSE NITRATE,Based on Solvent Range Solubility Data - Not too Reliable,16.9,13.5,10.3,9.9
223,"PVOH (NOT GOOD, SEE CHAP. 5)",Based on Solvent Range Solubility Data - Not too Reliable,17.0,9.0,18.0,4.0
224,NYLON 66,Based on Solvent Range Solubility Data - Not too Reliable,16.0,11.0,24.0,3.0
225,ACRYLOID B-44,Acrylics - Solvent Range,19.4,11.2,4.4,10.5
226,ACRYLOID B-66,Acrylics - Solvent Range,18.0,9.0,3.0,9.0
227,ACRYLOID B-72,Acrylics - Solvent Range,19.2,11.2,1.8,11.0
228,ACRYLOID B-82,Acrylics - Solvent Range,19.1,9.1,3.3,9.0
229,R+H PBA,Acrylics - Solvent Range,16.0,8.0,8.0,12.0
230,R+H PiMBA,Acrylics - Solvent Range,20.7,4.1,10.7,11.5
231,R+H PNBMA,Acrylics - Solvent Range,16.0,6.2,6.6,9.5
232,R+H PEMA,Acrylics - Solvent Range,19.0,9.0,8.0,11.0
233,R+H PMAA,Acrylics - Solvent Range,25.6,11.2,19.6,20.3
234,R+H PMMA,Acrylics - Solvent Range,19.1,11.3,4.1,10.3
235,BMA/AN 80/20,Acrylics - Solvent Range,17.5,9.9,4.1,9.5
236,ISOB MALANH/CYCLOL 75/25,Acrylics - Solvent Range,16.8,-0.4,7.2,8.5
237,MAA/EA/ST 15/38/47,Acrylics - Solvent Range,17.6,5.2,7.0,4.5
238,MAA/MA/VA 15/27.5/57.5,Acrylics - Solvent Range,28.5,15.7,18.1,21.5
239,MAA/MA/VA 15/17.5/67.5,Acrylics - Solvent Range,25.5,15.7,18.1,21.5
240,MMA/CYCLOL 58/42,Acrylics - Solvent Range,18.7,9.9,8.7,8.8
241,MMA/EA 50/50,Acrylics - Solvent Range,17.5,9.9,4.1,9.5
242,MMA/EA 25/75,Acrylics - Solvent Range,19.0,9.0,15.0,12.0
243,MMA/EA/AGE 40/40/20,Acrylics - Solvent Range,17.6,9.8,5.6,9.7
244,MMA/EA/AA,Acrylics - Solvent Range,15.9,15.9,11.5,11.1
245,MMA/EA/AN 55/30/15?,Acrylics - Solvent Range,16.7,10.9,8.5,8.5
246,MMA/EA/AN 40/40/20,Acrylics - Solvent Range,20.4,13.2,11.0,12.3
247,MMA/EA/BAMA 40/40/20,Acrylics - Solvent Range,17.9,8.5,11.7,12.9
248,MMA/EA/CYCLOL,Acrylics - Solvent Range,17.6,9.8,6.4,9.8
249,MMA/EA/MAM 40/40/20,Acrylics - Solvent Range,19.0,9.0,15.0,12.0
250,MMA/EA/MAM 45/45/10?,Acrylics - Solvent Range,19.5,11.1,8.7,11.2
251,MMA/EA/BVBE 40/40/20,Acrylics - Solvent Range,17.8,10.0,6.6,9.8
252,ACID DEGMP,Polyesters - Solvent Range,15.3,13.3,14.9,15.6
253,CARB DEG PTH,Polyesters - Solvent Range,19.4,13.4,11.6,11.1
254,CRYPLEX 1473-5,Polyesters - Solvent Range,19.2,9.4,5.6,8.9
255,DEG ISOPH,Polyesters - Solvent Range,19.2,17.2,14.6,11.8
256,DEG PHTH,Polyesters - Solvent Range,21.0,15.2,13.2,13.7
257,DPG PHTH,Polyesters - Solvent Range,20.1,11.5,6.7,11.6
258,DOW ADIP TEREP,Polyesters - Solvent Range,17.8,10.4,6.8,9.3
259,DOW X-2635 MALEATE,Polyesters - Solvent Range,17.8,5.6,6.8,4.5
260,VITEL PE LINEAR,Polyesters - Solvent Range,14.9,10.1,2.9,6.1
261,VITEL PE101-X,Polyesters - Solvent Range,21.3,6.3,4.7,7.3
262,HYD BIS A FUM ISPH,Polyesters - Solvent Range,17.0,4.4,6.2,5.0
263,HYD BIS A PG FUM ISPH,Polyesters - Solvent Range,18.7,8.9,5.5,8.4
264,PENTA BENZ MAL,Polyesters - Solvent Range,19.4,12.2,10.2,10.8
265,SOL MYLAR 49001,Polyesters - Solvent Range,19.0,5.0,4.0,5.0
266,SOL MYLAR 49002,Polyesters - Solvent Range,19.0,5.0,5.0,5.0
267,TEG EG MAL TEREP,Polyesters - Solvent Range,18.8,11.4,9.2,10.2
268,TEG MALEATE,Polyesters - Solvent Range,18.1,13.9,12.1,9.7
269,VAREZ 123,Polyesters - Solvent Range,17.3,10.9,11.9,10.7
270,AMOCO 18-290,Styrene Polymers And Copolymers - Solvent Range,19.3,3.7,7.9,7.8
271,BUTON 100 B UTAD-STY,Styrene Polymers And Copolymers - Solvent Range,17.0,4.0,3.0,7.3
272,BUTON 300,Styrene Polymers And Copolymers - Solvent Range,17.3,3.7,7.3,7.0
273,KOPPERS KTPL-A,Styrene Polymers And Copolymers - Solvent Range,19.3,3.7,7.9,7.8
274,RUBBER MOD PS,Styrene Polymers And Copolymers - Solvent Range,20.0,5.0,1.0,7.0
275,STY MAL ANH,Styrene Polymers And Copolymers - Solvent Range,23.4,13.8,15.2,16.5
276,LYTRON 820,Styrene Polymers And Copolymers - Solvent Range,21.1,13.1,14.5,14.4
277,MARBON 9200,Styrene Polymers And Copolymers - Solvent Range,19.0,4.0,4.0,6.0
278,PARAPOL S-50,Styrene Polymers And Copolymers - Solvent Range,17.9,3.9,4.9,3.9
279,PARAPOL S-60,Styrene Polymers And Copolymers - Solvent Range,17.9,3.9,4.9,3.9
