name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source
AMOCO 18-290,,19.30,3.70,7.90,7.80,,0.700,1,hspip_polymers
BUTON 100 BUTAD-STY,,17.00,4.00,3.00,7.30,,0.700,1,hspip_polymers
BUTON 300,,17.30,3.70,7.30,7.00,,0.700,1,hspip_polymers
KOPPERS KTPL-A,,19.30,3.70,7.90,7.80,,0.700,1,hspip_polymers
RUBBER MOD PS,,20.00,5.00,1.00,7.00,,0.700,1,hspip_polymers
STY MAL ANH,,23.40,13.80,15.20,16.50,,0.700,1,hspip_polymers
LYTRON 820,,21.10,13.10,14.50,14.40,,0.700,1,hspip_polymers
MARBON 9200,,19.00,4.00,4.00,6.00,,0.700,1,hspip_polymers
PARAPOL S-50,,17.90,3.90,4.90,3.90,,0.700,1,hspip_polymers
PARAPOL S-60,,17.90,3.90,4.90,3.90,,0.700,1,hspip_polymers
PICCOFLEX 120,,17.40,7.80,3.80,7.70,,0.700,1,hspip_polymers
SHELL POLYALDEHYDE EX 39,,19.60,10.00,3.60,9.40,,0.700,1,hspip_polymers
SHELL POLYALDEHYDE EX 40,,19.60,10.00,3.60,9.40,,0.700,1,hspip_polymers
SHELL X-450,,19.30,9.50,11.10,11.10,,0.700,1,hspip_polymers
SMA 1430A,,18.80,11.40,16.40,14.10,,0.700,1,hspip_polymers
SAN 85/15,,19.10,9.50,3.10,8.70,,0.700,1,hspip_polymers
STY/BUTENOL 85/15,,17.40,7.80,3.80,7.70,,0.700,1,hspip_polymers
STY/CYCLOL 82/18,,18.20,5.60,7.20,5.70,,0.700,1,hspip_polymers
STY/2EHA/AA 81/11/8,,17.70,4.90,5.90,5.90,,0.700,1,hspip_polymers
STY/MAA 90/10,,18.70,6.30,7.30,6.70,,0.700,1,hspip_polymers
STY/MA 85/15,,18.00,9.00,3.00,9.00,,0.700,1,hspip_polymers
STY/HALF ESTER MA 60/40,,18.90,10.90,10.70,9.70,,0.700,1,hspip_polymers
STY/PROP HALF E MA 57/43,,18.00,9.80,8.40,10.10,,0.700,1,hspip_polymers
STY/VBE 85/15,,17.40,7.80,3.80,7.70,,0.700,1,hspip_polymers
STYRON 44OM-27 MOD PS,,20.00,5.00,1.00,7.00,,0.700,1,hspip_polymers
STYRON 475M-27,,20.00,5.00,1.00,7.00,,0.700,1,hspip_polymers
STYRON 480-27,,20.00,6.00,4.00,5.30,,0.700,1,hspip_polymers
ACRYLOID K120N,,17.60,10.00,3.80,9.50,,0.700,1,hspip_polymers
DODA 6225,,19.00,2.00,1.00,3.00,,0.700,1,hspip_polymers
DODA 3457,,19.00,2.00,1.00,3.00,,0.700,1,hspip_polymers
ELV AX 250,,19.00,2.00,1.00,3.00,,0.700,1,hspip_polymers
ELV AX 150,,18.70,2.30,0.70,6.00,,0.700,1,hspip_polymers
ELV AX EOD 3602-1,,17.70,3.30,2.70,5.407248,,0.700,1,hspip_polymers
EXON 470 PVC,,17.40,7.80,3.80,7.70,,0.700,1,hspip_polymers
EXON 471,,17.90,8.70,2.50,9.00,,0.700,1,hspip_polymers
EXON 473,,17.40,7.80,3.80,7.70,,0.700,1,hspip_polymers
GEON 121,,19.50,6.70,11.10,8.00,,0.700,1,hspip_polymers
POLYCYCLOLa,,19.00,9.00,15.00,12.00,,0.700,1,hspip_polymers
PVBE,,16.70,3.70,8.30,8.60,,0.700,1,hspip_polymers
PVEE,,16.00,4.00,12.00,14.00,,0.700,1,hspip_polymers
FORMV AR 7/70E PVFORMAL,,22.20,12.60,14.20,14.00,,0.700,1,hspip_polymers
FORMV AR 15/95E,,22.20,12.60,14.20,14.00,,0.700,1,hspip_polymers
PVIBE,,16.00,1.00,8.00,10.00,,0.700,1,hspip_polymers
SARAN F-120 VCL2/AN?,,28.80,16.80,0.80,23.70,,0.700,1,hspip_polymers
SARAN F-220 ?,,28.80,16.80,0.80,23.70,,0.700,1,hspip_polymers
SINCLAIR 3840A,,18.40,4.00,9.60,7.30,,0.700,1,hspip_polymers
V A/EHA/MA 63/33/4,,17.70,6.30,7.70,5.30,,0.700,1,hspip_polymers
V A/EHA/CYC/MAA/76/12/8/4,,21.20,12.40,13.00,12.60,,0.700,1,hspip_polymers
V A/EA/CY 70/20/10,,20.00,12.00,11.00,15.00,,0.700,1,hspip_polymers
VBE/AN/MAA 46/27/27,,18.90,11.70,11.10,9.60,,0.700,1,hspip_polymers
VBE/MA/MAC46/27/27,,19.40,13.00,13.80,12.30,,0.700,1,hspip_polymers
