name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source
MMA/EA/BAMA 40/40/20,,17.9,8.5,11.7,12.9,Acrylic,0.850,1,hsp_polymers_2
MMA/EA/CYCLOL,,17.6,9.8,6.4,9.8,Acrylic,0.850,1,hsp_polymers_2
MMA/EA/MAM 40/40/20,,19.0,9.0,15.0,12.0,Acrylic,0.850,1,hsp_polymers_2
MMA/EA/MAM 45/45/10,,19.5,11.1,8.7,11.2,Acrylic,0.850,1,hsp_polymers_2
MMA/EA/BVBE 40/40/20,,17.8,10.0,6.6,9.8,Acrylic,0.850,1,hsp_polymers_2
ACID DEGMP,,15.3,13.3,14.9,15.6,Polyester & Alkyd,0.850,1,hsp_polymers_2
CARB DEG PTH,,19.4,13.4,11.6,11.1,Polyester & Alkyd,0.850,1,hsp_polymers_2
CRYPLEX 1473-5,,19.2,9.4,5.6,8.9,Acrylic,0.850,1,hsp_polymers_2
DEG ISOPH,,19.2,17.2,14.6,11.8,Polyester & Alkyd,0.850,1,hsp_polymers_2
DEG PHTH,,21.0,15.2,13.2,13.7,Polyester & Alkyd,0.850,1,hsp_polymers_2
DPG PHTH,,20.1,11.5,6.7,11.607248,Polyester & Alkyd,0.850,1,hsp_polymers_2
DOW ADIP TEREP,,17.8,10.4,6.8,9.3,Polyester & Alkyd,0.850,1,hsp_polymers_2
DOW X-2635 MALEATE,,17.8,5.6,6.8,4.5,Polyester & Alkyd,0.850,1,hsp_polymers_2
VITEL PE LINEAR,,14.9,10.1,2.9,6.1,Polyester & Alkyd,0.850,1,hsp_polymers_2
VITEL PE101-X,,21.3,6.3,4.7,7.3,Polyester & Alkyd,0.850,1,hsp_polymers_2
HYD BIS A FUM ISPH,,17.0,4.4,6.2,5.0,Polyester & Alkyd,0.850,1,hsp_polymers_2
HYD BIS A PG FUM ISPH,,18.7,8.9,5.5,8.4,Polyester & Alkyd,0.850,1,hsp_polymers_2
PENTA BENZ MAL,,19.4,12.2,10.2,10.8,Polyester & Alkyd,0.850,1,hsp_polymers_2
SOL MYLAR 49001,,19.0,5.0,4.0,5.0,Polyester & Alkyd,0.850,1,hsp_polymers_2
SOL MYLAR 49002,,19.0,5.0,5.0,5.0,Polyester & Alkyd,0.850,1,hsp_polymers_2
TEG EG MAL TEREP,,18.8,11.4,9.2,10.2,Polyester & Alkyd,0.850,1,hsp_polymers_2
TEG MALEATE,,18.1,13.9,12.1,9.7,Polyester & Alkyd,0.850,1,hsp_polymers_2
